kept_for,org,type,title,location,date,url
advocacy,Indivisible (national),ADVOCACY,De-ICE Citizens Bank!!!,"South Orange Village, NJ",2026-06-06,https://www.mobilize.us/indivisible/event/941655/
creative/named,Indivisible (national),VISIBILITY_EVENT,Vigil for Democracy - Curbside Visiblity,"Logan, UT",2026-06-05,https://www.mobilize.us/indivisible/event/956610/
creative/named,Indivisible (national),VISIBILITY_EVENT,Vigil for Black Lives - Dimond District,"Oakland, CA",2026-06-06,https://www.mobilize.us/indivisible/event/779507/
creative/named,Indivisible (national),SOLIDARITY_EVENT,Rage Against The Regime - Wendover Edition,"Greensboro, NC",2026-06-06,https://www.mobilize.us/indivisible/event/832550/
creative/named,Indivisible (national),VISIBILITY_EVENT,Rage Against The Regime Battleground Edition!,"Greensboro, NC",2026-06-06,https://www.mobilize.us/indivisible/event/842512/
creative/named,Indivisible (national),VISIBILITY_EVENT,"Shawnee Days Parade March for freedom, democracy, and the rule of law","Shawnee, KS",2026-06-06,https://www.mobilize.us/indivisible/event/924716/
creative/named,Indivisible (national),VISIBILITY_EVENT,Rage Against The Regime Gate City BLVD Edition!,"Greensboro, NC",2026-06-06,https://www.mobilize.us/indivisible/event/934447/
creative/named,Indivisible (national),VISIBILITY_EVENT,Duvall Days Parade,"Duvall, WA",2026-06-06,https://www.mobilize.us/indivisible/event/946924/
creative/named,Indivisible (national),VISIBILITY_EVENT,Dance Against DOGE - Fabulously Fighting Fascism,"Washington, DC",2026-06-06,https://www.mobilize.us/indivisible/event/950698/
creative/named,Indivisible (national),SOLIDARITY_EVENT,Muskegon Pride Parade,"Muskegon, MI",2026-06-06,https://www.mobilize.us/indivisible/event/951350/
creative/named,Indivisible (national),OTHER,Silent Vigil for those impacted by health care cuts,"Seattle, WA",2026-06-06,https://www.mobilize.us/indivisible/event/961551/
creative/named,Indivisible (national),COMMUNITY,March with Jackson Heights Indivisible at Queens Pride Parade 2026,"Queens, NY",2026-06-07,https://www.mobilize.us/indivisible/event/960439/
creative/named,Indivisible (national),VISIBILITY_EVENT,"Alexis Goldstein for Congress Dance Party: Sign-Waving in Frederick, MD!","Frederick, MD",2026-06-09,https://www.mobilize.us/indivisible/event/957038/
creative/named,Indivisible (national),VISIBILITY_EVENT,CHALK-THE-WALK-WITH-TRUTH | Saugatuck | Hosted by: Good Trouble Indivisible,"Saugatuck, MI",2026-06-12,https://www.mobilize.us/indivisible/event/933653/
creative/named,Third Act,COMMUNITY,Show Your Pride! March with Team Lander in the Brooklyn Pride Parade!,"Brooklyn, NY",2026-06-13,https://www.mobilize.us/thirdact/event/968097/
creative/named,Indivisible (national),RALLY,Rise up Sing Out,"Fort Wayne, IN",2026-06-14,https://www.mobilize.us/indivisible/event/954885/
creative/named,Indivisible (national),RALLY,"No Kings Rise Up, Sing Out Rally","Vacaville, CA",2026-06-14,https://www.mobilize.us/indivisible/event/964397/
creative/named,Indivisible (national),COMMUNITY,"Rise Up, Sing Out NOVI Pre-Watch Rally","Novi, MI",2026-06-14,https://www.mobilize.us/indivisible/event/965523/
creative/named,Indivisible (national),COMMUNITY,FLAG DAY Street Rally & RISE UP SING OUT! Livestream,"Lynnwood, WA",2026-06-14,https://www.mobilize.us/indivisible/event/965882/
creative/named,Indivisible (national),RALLY,"No Kings- Rise up & Sing out, Yakima Flag Day Rally","Yakima, WA",2026-06-14,https://www.mobilize.us/indivisible/event/966498/
creative/named,Indivisible (national),COMMUNITY,Rise Up; Sing Out; No Kings @ Homesteaders Parade,"Hot Springs, MT",2026-06-14,https://www.mobilize.us/indivisible/event/967686/
creative/named,Indivisible (national),SOLIDARITY_EVENT,"Pro-Democracy Resistance Crawl Bingo, Round 2","Fishers, IN",2026-06-23,https://www.mobilize.us/indivisible/event/954145/
creative/named,Indivisible (national),VISIBILITY_EVENT,"Lenexa Community Days Parade - March for Democracy, Freedom & Rule of Law","Lenexa, KS",2026-07-04,https://www.mobilize.us/indivisible/event/945220/
issue campaign,Indivisible (national),RALLY,"Care Over Cuts: Fund Healthcare Not Hate! Protect Medicaid, Medicare, and Healthcare Jobs!","Northampton, MA",2026-06-05,https://www.mobilize.us/indivisible/event/958339/
issue campaign,Indivisible (national),RALLY,"""We the People"" want to see the Epstein Files rally on the Tempe Pedestrian Bridge! Food Drive","Tempe, AZ",2026-06-06,https://www.mobilize.us/indivisible/event/843814/
issue campaign,Indivisible (national),RALLY,ICE Out/Pro Democracy Anti-autocracy,"Wells, ME",2026-06-06,https://www.mobilize.us/indivisible/event/870518/
issue campaign,Indivisible (national),VISIBILITY_EVENT,ICE Out of Home Depot,"Boulder, CO",2026-06-06,https://www.mobilize.us/indivisible/event/946834/
issue campaign,Indivisible (national),VISIBILITY_EVENT,Beaches Library Protest,"Neptune Beach, FL",2026-06-06,https://www.mobilize.us/indivisible/event/965214/
issue campaign,Indivisible (national),VISIBILITY_EVENT,ICE Out For Good Germantown,"Germantown, MD",2026-06-06,https://www.mobilize.us/indivisible/event/967002/
issue campaign,Indivisible (national),RALLY,ICE Out of SLO County! Abolish ICE!,"San Luis Obispo County, CA",2026-06-07,https://www.mobilize.us/indivisible/event/876592/
issue campaign,Indivisible (national),RALLY,ICE Out/No Kings - West Orange,"West Orange, NJ",2026-06-07,https://www.mobilize.us/indivisible/event/910883/
issue campaign,Indivisible (national),VISIBILITY_EVENT,"🗽 Stand Together- Boycott Bezos, ICE Out, No War & NO KINGS!","Portland, OR",2026-06-07,https://www.mobilize.us/indivisible/event/950119/
issue campaign,Indivisible (national),VISIBILITY_EVENT,Petworth ICE Out: No Cooperation With the Occupation,"Washington, DC",2026-06-07,https://www.mobilize.us/indivisible/event/955498/
issue campaign,Indivisible (national),VISIBILITY_EVENT,"ICE Out, Los Altos","Los Altos, CA",2026-06-08,https://www.mobilize.us/indivisible/event/912521/
issue campaign,Indivisible (national),OTHER,ESCONDIDO! Tuesday Weekly 10:30 a.m. Protest: ICE OUT OF ESCONDIDO,"Escondido, CA",2026-06-09,https://www.mobilize.us/indivisible/event/871203/
issue campaign,Indivisible (national),VISIBILITY_EVENT,Ice Out Now,"Buffalo, NY",2026-06-09,https://www.mobilize.us/indivisible/event/885716/
issue campaign,Indivisible (national),VISIBILITY_EVENT,Care Over Cuts: Protect Medicaid and Medicare! Save Lives & Jobs!,"Northampton, MA",2026-06-09,https://www.mobilize.us/indivisible/event/941919/
issue campaign,Indivisible (national),RALLY,ICE out of Everywhere,"Beaverton, OR",2026-06-10,https://www.mobilize.us/indivisible/event/916149/
issue campaign,Indivisible (national),RALLY,ICE Out for Good Great Neck:  Beacon Shine the Light Thursdays,"Great Neck Plaza, NY",2026-06-11,https://www.mobilize.us/indivisible/event/955917/
issue campaign,Indivisible (national),RALLY,ICE out of Scarborough,"Scarborough, ME",2026-06-12,https://www.mobilize.us/indivisible/event/960684/
issue campaign,Indivisible (national),RALLY,Pop Up ICE OUT Rally-EVERY 3RD FRIDAY,"Kansas City, MO",2026-06-19,https://www.mobilize.us/indivisible/event/939435/
issue campaign,Indivisible (national),RALLY,Signs of Fascism March and Epstein File Protest,"Boca Raton, FL",2026-06-20,https://www.mobilize.us/indivisible/event/960902/
issue campaign,Indivisible (national),VISIBILITY_EVENT,ICE Out For Good Fairfax VA,"Fairfax, VA",2026-06-24,https://www.mobilize.us/indivisible/event/911845/
issue campaign,Indivisible (national),RALLY,Rally for Repro,"Rockford, IL",2026-06-24,https://www.mobilize.us/indivisible/event/962112/
issue campaign,Indivisible (national),VISIBILITY_EVENT,"NO KINGS PROTEST! NO WAR! RELEASE THE EPSTEIN FILES! June 27, 12-1pm Hyannis Airport Rotary","Hyannis, MA",2026-06-27,https://www.mobilize.us/indivisible/event/938766/
issue campaign,Indivisible (national),VISIBILITY_EVENT,Trans Ally Rally,"San Francisco, CA",2026-06-27,https://www.mobilize.us/indivisible/event/953807/
issue campaign,Indivisible (national),RALLY,"ICE OUT For GOOD - Our Money, Their Raids - Enough - Anthem Indivisible","Phoenix, AZ",2026-06-27,https://www.mobilize.us/indivisible/event/959342/
issue campaign,Indivisible (national),VISIBILITY_EVENT,"NO KINGS PROTEST! NO WAR! RELEASE THE EPSTEIN FILES! July 11, 12-1pm Hyannis Airport Rotary","HYANNIS, MA",2026-07-11,https://www.mobilize.us/indivisible/event/938770/
issue campaign,Indivisible (national),VISIBILITY_EVENT,ICE Out For Good Fairfax VA 4th Wed. recurring,"Fairfax, VA",2026-08-26,https://www.mobilize.us/indivisible/event/933467/
issue campaign,Indivisible (national),RALLY,ICE Out For Good [Beverly MA],"Beverly, MA",2026-09-19,https://www.mobilize.us/indivisible/event/909409/
issue campaign,Indivisible (national),VISIBILITY_EVENT,ICE OUT for good/VIGIL Fairfax VA 4th Wed. recurring,"Fairfax, VA",2026-09-23,https://www.mobilize.us/indivisible/event/933474/
